latitude,longitude
48.1364717,11.5738671
48.1342182,11.5665189
48.1337028,11.5653075
48.1282531,11.5701658
48.1284466,11.5752151
48.1040828,11.5946575
48.1181747,11.4304914
48.1291359,11.558105
48.1149439,11.5699259
48.1211094,11.6062476
48.1402067,11.6015969
48.1577743,11.5751376
48.1052126,11.544638
48.118978,11.4289341
48.1364037,11.6088087
48.110262,11.6271521
48.1900994,11.6159054
48.1783895,11.6019866
48.1667721,11.5908627
48.1513683,11.6203776
48.1207184,11.5279584
48.1161851,11.5271542
48.2200191,11.5581249
48.1733165,11.6359145
48.1685678,11.6347935
48.1550227,11.6303317
48.1374999,11.5348087
48.1495873,11.5492446
48.1503872,11.5453365
48.1510261,11.5393013
48.1450768,11.5600474
48.1447752,11.5603095
48.1592797,11.5857107
48.0797233,11.6069931
48.1282544,11.6462731
48.120978,11.5480336
48.1396008,11.5760769
48.1252688,11.638702
48.0947303,11.5731759
48.136927,11.6127747
48.1192524,11.610805
48.1258892,11.3678618
48.1275963,11.3658469
48.0877716,11.5998064
48.1246832,11.3660693
48.1315763,11.3642859
48.1314965,11.3702663
48.116662,11.6125272
48.1688579,11.5740209
48.1147935,11.579375
48.1160757,11.580668
48.1513384,11.6185772
48.1402895,11.606389
48.1382413,11.5704559
48.1384174,11.558388
48.1375181,11.563718
48.152992,11.534056
48.1672214,11.6242178
48.1306015,11.6188292
48.0914379,11.5609329
48.175444,11.3619391
48.1362444,11.5792107
48.1314093,11.5881476
48.1343945,11.5978062
48.1340226,11.5400358
48.1357149,11.5377505
48.1584205,11.5475107
48.1550866,11.5118925
48.1370701,11.5787887
48.1620681,11.5856934
48.128317,11.5562143
48.1757795,11.5741697
48.1680019,11.6445955
48.1511081,11.6089853
48.1386377,11.5707993
48.1110513,11.5950893
48.1732215,11.5949797
48.17369,11.5853722
48.1153218,11.5793512
48.1538748,11.5752545
48.1559483,11.5619911
48.1576911,11.5626086
48.1595824,11.5632754
48.168999,11.564612
48.0631788,11.6145481
48.2238041,11.4709224
48.1826665,11.5940469
48.1599992,11.580881
48.1598885,11.5823699
48.1823939,11.552924
48.1820427,11.5529764
48.1693881,11.5935999
48.1822763,11.5291203
48.1092191,11.5743578
48.1610771,11.5824329
48.2096458,11.5678863
48.1522707,11.5742215
48.1487065,11.5750991
48.1477924,11.5764455
48.093092,11.4650374
48.15245,11.5073512
48.1325633,11.5666797
48.1237353,11.5668785
48.1212203,11.576358
