latitude,longitude,cluster,count,name,addr.street
48.1283677,11.5955726,3,61,Fleming Apotheke,Weißenburger Straße
48.1400306,11.5070156,11,9,Veit-stoß-apotheke,Sandrartstraße
48.1555209,11.5658877,2,27,Hiltensperger-apotheke,Josephsplatz
48.1539949,11.5841915,2,27,Kaulbach Apotheke,Ohmstraße
48.1367714,11.5026719,11,9,Stefans Apotheke,NA
48.1384289,11.50338,11,9,Gloria Apotheke,NA
48.1400338,11.5028644,11,9,St. Ulrichs Apotheke,Fürstenrieder Straße
48.1512949,11.5640104,2,27,Robert-koch-apotheke,NA
48.1491176,11.5631402,2,27,Augusten-apotheke,Augustenstraße
48.152794,11.565504,2,27,Edelweiß-apotheke,NA
48.1496075,11.54635,7,11,Wappen-apotheke,Nymphenburger Straße
48.1477547,11.4612156,4,10,Apotheke Am Pasinger Markt,NA
48.1164917,11.5333322,12,6,Hellas Apotheke,NA
48.1370631,11.5981225,3,61,Merzendorfer Orthopädie,NA
48.129011,11.5585809,5,5,Goetheplatz-apotheke,Goetheplatz
48.1523656,11.5355781,7,11,Apotheke Im Karl-albrecht-hof,Nymphenburger Straße
48.1492574,11.4600208,4,10,Bienenapotheke,Kaflerstraße
48.13387,11.5654089,3,61,Cleemann-apotheke,Sendlinger-Tor-Platz
48.119419,11.5439575,12,6,Oberländer Apotheke,Daiserstraße
48.1499837,11.5443593,7,11,Elvira-apotheke,Nymphenburger Straße
48.1355458,11.5717782,3,61,Adler Apotheke,Dultstraße
48.1418398,11.5610934,3,61,Inter-apotheke,Elisenstraße
48.1307043,11.5703982,3,61,Angertor Apotheke,Hans-Sachs-Straße
48.1496525,11.455563,4,10,Aurora Apotheke,Lortzingstraße
48.1530212,11.5260818,7,11,Benno Apotheke,Nibelungenstraße
48.2246517,11.6732023,1,5,Amalien Apotheke,Bahnhofstraße
48.1311678,11.5025159,11,9,Fürstenrieder Apotheke,Fürstenrieder Straße
48.1305232,11.364648,8,5,Apotheke Im Germedicum,NA
48.1383585,11.5805711,3,61,St. Anna Apotheke,NA
48.136919,11.5712742,3,61,Klösterl-apotheke,Färbergraben
48.1123885,11.575942,9,9,Monachi Apotheke,NA
48.1251681,11.579659,3,61,Mariahilf Apotheke,Ohlmüllerstraße
48.129096,11.5594478,5,5,Klösterl Apotheke,Waltherstraße
48.1477131,11.4641301,4,10,Saniplus Nachtzugang,NA
48.13489402242809,11.50960984534641,11,9,Karwendel-apotheke,Zschokkestraße
48.13878999844559,11.565562882007532,3,61,Dr. Beckers Central Apotheke,Stachus-Einkaufszentrum
48.13950050170204,11.560262820641306,3,61,Hauptbahnhof Apotheke,NA
48.127694842935185,11.604192811435542,3,61,Welfen-apotheke,NA
48.14772513236568,11.464120775531935,4,10,Saniplus,NA
48.13057990861356,11.59050687641798,3,61,Domos Apotheke,Rosenheimer Straße
48.16190121145738,11.586342761331272,2,27,,NA
48.13725773154175,11.574960212310705,3,61,Kranich Apotheke,NA
