name,id,nametype,type,class,group,mass (g),fall,year,reclat,reclong,GeoLocation
Lewis Cliff 97204,14617,Valid,Stony,Ordinary,L6,277.7,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97205,14618,Valid,Stony,Ordinary,L6,235,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97206,14619,Valid,Stony,Ordinary,LL6,182.4,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97207,14620,Valid,Stony,Ordinary,L6,524.4,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97208,14621,Valid,Stony,Ordinary,L6,660.7,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97209,14622,Valid,Stony,Ordinary,L5,340.6,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97210,14623,Valid,Stony,Ordinary,L6,288.5,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97211,14624,Valid,Stony,Ordinary,L6,122,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97212,14625,Valid,Stony,Ordinary,L6,171.9,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97213,14626,Valid,Stony,Ordinary,LL5,82.1,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97214,14627,Valid,Stony,Ordinary,L6,35,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97215,14628,Valid,Stony,Ordinary,H6,24.3,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97216,14629,Valid,Stony,Ordinary,L3.7,23,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97217,14630,Valid,Stony,Ordinary,L5,25.5,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97218,14631,Valid,Stony,Ordinary,H5,28.5,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
Lewis Cliff 97219,14632,Valid,Stony,Ordinary,H5,79.6,Found,1997-01-01,-84.26667,161.5,"(-84.266670, 161.500000)"
